id,matricule,groupe_code
1560,259,4 - EPG1
1561,259,4 - CPC2
152,26,1 - CPC1
153,26,1 - EPG1
1562,260,1 - CPC2
1563,260,1 - EPF2
1564,260,1 - HGS3
1565,260,1 - N
1566,261,5
1567,261,5 - H4
1568,261,5 - M4h2
1569,261,5 - LM1 - A2
1570,261,5 - Commu1
1571,261,5 - EPG1
1572,261,5 - CPC5
1573,261,5 - Sc4
1574,261,6 - LM2 - I
1575,262,6 - LM2 - A
1576,262,6 - ScOp2
1577,262,6 - Phy
1578,262,6 - H4
1579,262,6 - EPF2
1580,262,6 - Labo
1581,262,6 - LM1 - N
1582,262,2
