id,groupe_code,classe,option,LM1,LM2,LM3
355,3 - SC3,3PAX,,,,
356,3 - SC3,3PAY,,,,
357,5 - H3,5PAW,,,,
358,5 - H3,5PAX,,,,
359,5 - M4h6,5PAY,,,,
360,2 - EPG1,2PAA,,,,
361,2 - EPG1,2PAD,,,,
362,2 - EPF1,2PAA,,,,
363,2 - EPF1,2PAD,,,,
364,3 - SC1,3PAT,,,,
365,3 - SC1,3PAU,,,,
366,3 - SC1,3PAW,,,,
367,3 - ScOp2,3PAS,,,,
368,6 - LM1 - A4,6PAZ,,,,
369,5 - LM1 - A1,5PAT,,,,
370,6 - LM1 - A3,6PAU,,,,
371,6 - LM1 - A3,6PAV,,,,
372,6 - LM1 - A2,6PAW,,,,
373,6 - LM1 - A2,6PAY,,,,
374,6 - LM1 - N,6PAV,,,,
375,6 - LM1 - N,6PAZ,,,,
376,6 - Commu2,6PAX,,,,
377,6 - Hop1,6PAX,,,,
378,5 - EPF2,5PAW,,,,
379,5 - EPF2,5PAX,,,,
380,5 - EPG2,5PAW,,,,
381,5 - EPG2,5PAX,,,,
382,2 - CPC2,2PAE,,,,
383,1+2 - DI,1PAA,,,,
384,1+2 - DI,2PAG,,,,
385,4 - M2,4PAU,,,,
386,4 - M2,4PAW,,,,
387,4 - M2,4PAZ,,,,
388,4 - M2,4PAY,,,,
389,4 - RC,4PAS,,,,
390,4 - RC,4PAU,,,,
391,4 - RC,4PAV,,,,
392,4 - RC,4PAW,,,,
393,4 - RC,4PAX,,,,
394,4 - RC,4PAY,,,,
395,4 - RC,4PAZ,,,,
396,4 - RI,4PAS,,,,
397,4 - RI,4PAU,,,,
398,4 - RI,4PAV,,,,
399,4 - RI,4PAW,,,,
400,4 - RI,4PAX,,,,
401,4 - RI,4PAY,,,,
402,4 - RI,4PAZ,,,,
403,4 - M1,4PAS,,,,
404,4 - M1,4PAV,,,,
405,4 - M1,4PAX,,,,
406,4 - CPC5,4PAY,,,,
407,4 - CPC5,4PAZ,,,,
408,4 - CPC3,4PAU,,,,
409,4 - CPC3,4PAX,,,,
410,4 - CPC4,4PAV,,,,
411,4 - CPC4,4PAW,,,,
412,2 - A2,2PAC,,,,
413,2 - A2,2PAG,,,,
414,2 - CPC4,2PAB,,,,
415,2 - CPC4,2PAF,,,,
416,5 - CPC3,5PAW,,,,
417,5 - CPC6,5PAY,,,,
418,3 - LM2 - A,3PAS,,,,
419,3 - LM2 - A,3PAV,,,,
420,3 - LM2 - A,3PAW,,,,
421,3 - LM2 - A,3PAY,,,,
422,4 - LM2 - A,4PAV,,,,
423,4 - LM2 - A,4PAW,,,,
424,4 - LM2 - A,4PAX,,,,
425,4 - LM2 - A,4PAY,,,,
426,4 - LM2 - A,4PAZ,,,,
427,3 - LM2 - N2,3PAS,,,,
428,3 - LM2 - N2,3PAV,,,,
429,3 - LM2 - N2,3PAW,,,,
430,3 - LM2 - N2,3PAY,,,,
431,4 - LM2 - N2,4PAV,,,,
432,4 - LM2 - N2,4PAW,,,,
433,4 - LM2 - N2,4PAX,,,,
434,4 - LM2 - N2,4PAY,,,,
435,4 - LM2 - N2,4PAZ,,,,
436,3+4 - LM2 - D,3PAS,,,,
437,3+4 - LM2 - D,3PAW,,,,
438,3+4 - LM2 - D,3PAY,,,,
439,3+4 - LM2 - D,4PAW,,,,
440,3 - LM2 - I,3PAS,,,,
441,3 - LM2 - I,3PAV,,,,
442,3 - LM2 - I,3PAW,,,,
443,3 - LM2 - I,3PAY,,,,
444,4 - LM2 - I,4PAV,,,,
445,4 - LM2 - I,4PAW,,,,
446,4 - LM2 - I,4PAX,,,,
447,4 - LM2 - I,4PAY,,,,
448,4 - LM2 - I,4PAZ,,,,
449,3 - LM2 - E4,3PAS,,,,
450,3 - LM2 - E4,3PAV,,,,
451,3 - LM2 - E4,3PAW,,,,
452,3 - LM2 - E4,3PAY,,,,
453,4 - LM2 - E4,4PAW,,,,
454,4 - LM2 - E4,4PAX,,,,
455,4 - LM2 - E4,4PAY,,,,
456,4 - LM2 - E3,4PAV,,,,
457,4 - LM2 - E3,4PAZ,,,,
458,5 - M4h3,5PAZ,,,,
459,5 - M4h2,5PAU,,,,
460,5 - M4h1,5PAT,,,,
461,6 - EPF2,6PAV,,,,
462,6 - EPF2,6PAY,,,,
463,6 - EPG2,6PAV,,,,
464,6 - EPG2,6PAY,,,,
465,5 - CPC1,5PAV,,,,
466,5 - Sc2,5PAY,,,,
467,1+2 - NI,2PAD,,,,
468,1+2 - NI,1PAC,,,,
469,6 - M,6PAU,,,,
470,6 - M,6PAV,,,,
471,6 - M,6PAW,,,,
472,6 - M,6PAY,,,,
473,6 - M,6PAZ,,,,
474,6 - RC,6PAU,,,,
475,6 - RC,6PAV,,,,
476,6 - RC,6PAW,,,,
477,6 - RI,6PAU,,,,
478,6 - RI,6PAW,,,,
479,6 - RI,6PAY,,,,
480,6 - CPC3,6PAV,,,,
481,6 - CPC3,6PAW,,,,
482,6 - CPC4,6PAZ,,,,
483,6 - CPC4,6PAY,,,,
484,6 - CPC2,6PAU,,,,
